PiceAbie,SorbAucu,PinuMugo,SaliSIle,JuniComm,VaccMyrt,OxalAcet,HomoAlpi,SoldHung,AvenFlex,CalaVill,GentAscl,DryoDila,PhegDryo,PrenPurp,PolyVert,SoAucJu,LuzuPilo,AthyDist,LuzuSylv,RumeArif,StelNemo,VeraLobe,LiguMute,SoldCarp,RanuMont,HupeSela,AdenAlli,AnthAlpi,HypeMacu,RubuIdae,GeunMont,VaccViti,PulsAlba,GentPunc,SoliVirg,LuzuLuzu,OreoDist,FestSupi,CampAlpi,JuncTrif,LuzuAlpi,HierAlpi,CareSemp,TrisFusc,PoteAure,SaleHerb,PrimMini
6.5,1,0,0,0,3,4,3,2,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3,0,0,0,4,4,3,3,2,2,1,2,3,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,5,2,3,3,4,2,2,2,2,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0,0,3,3,4,3,3,5.5,2,2,2,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,0,0,0,5,3,3,3,2,4,2,2,0,0,0,0,0,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3.5,2,0,0,5,0,3,0,3,0,2,2,2,2,2,0,0,2,2,0,0,2,2,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3.5,6,0,0,5,3,4,0,3,4,2,0,2,0,2,2,0,4,0,3,2,2,2,3,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3.5,7,0,0,5,0,3,0,2,3,2,2,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,7,0,0,5,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,6,4,0,2,2,2,0,3,5,0,2,0,0,0,0,0,4,0,2,0,3,1,0,0,0,1,2,2,2,2,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0
4,0,6,0,0,5,0,3,0,2,3,0,0,0,0,0,0,0,2,0,2,0,2,2,2,0,1,0,0,0,0,0,2,0,2,0,0,4,2,2,3,2,1,0,0,0,0,0
0,0,4,0,1.5,6,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2.5,2,2,1,0,0,0,0,2,2.5,2,2,0,0,4,3,3,3,2,2,4,2,0,0,0
0,0,0,0,3,4,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,2,3,1,2,1,3,5,3,0,4,0,2,3,2,2,0,0
0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,2,0,0,0,0,3,3,3,2,0,0,4.5,0,1,4,3
