var1,var2,var3,var4,var5,var6,var7
119,93,42,41,96,26,50
105,77,58.1,45,90,56,20
126,85,62.7,51,90,27,28
116,64,54.3,29,105,32,21
125,84,53.6,45,106,44,16
93,71,35.5,45,90,58,31
150,130,48.7,63,90,54,41
148,132,47.3,65,94,54,33
97,76,42.3,40,112,53,26
124,89,45.2,53,111,42,29
138,95,49.3,41,102,55,32
117,99,43.6,51,90,61,30
137,118,53.3,58,90,57,25
149,110,50.3,40,101,42,20
145,91,42.8,53,89,43,24
91,78,45.1,55,90,52,26
122,87,45.1,39,89,60,16
146,75,44.5,32,101,48,31
185,143,45.9,40,90,54,40
139,97,41.7,48,92,50,32
131,88,38.9,58,90,36,48
150,104,44.7,50,126,45,34
177,125,58.2,49,69,38,12
111,75,65.8,46,62,28,7
131,85,63.4,49,64,26,10
109,82,67.9,59,64,43,8
130,87,60.8,45,58,36,7
158,88,74.7,48,50,33,8
205,133,48.8,36,85,33,12
120,93,48.3,45,81,52,4
204,69,80.9,37,77,11,7
142,99,68.3,62,78,33,10
191,99,62.3,44,98,32,10
209,121,61.7,58,83,32,15
169,104,56.2,50,84,28,11
205,123,63.4,48,67,38,5
138,89,68.1,52,76,28,11
185,84,62.7,35,70,23,5
119,111,52.1,55,90,45,38
74,51,32.4,23,105,58,13
144,112,47.9,60,85,54,51
124,92,59.7,56,84,33,34
143,84,51.8,47,88,45,45
51,37,27.5,22,93,67,67
186,144,44.6,43,90,70,55
