,"punct-L ","punct-S ","march-L ","march-S ","hubbs-L ","hubbs-S ","oz-L    ","oz-S    ","neg-L   ","neg-S   "
"Samp0001",1,0,0,0,0,0,0,0,0,0
"Samp0002",1,0,0,0,0,0,0,1,0,0
"Samp0003",3,0,0,0,0,0,3,1,0,0
"Samp0004",4,1,0,0,0,0,1,2,0,0
"Samp0005",4,0,0,0,0,0,1,3,0,0
"Samp0006",5,1,0,0,0,0,0,5,0,0
"Samp0007",1,0,0,0,0,0,1,0,0,0
"Samp0008",2,0,0,0,0,0,2,3,0,0
"Samp0009",2,0,0,0,0,0,1,4,0,0
"Samp0010",3,0,0,0,0,0,1,0,0,0
"Samp0011",1,0,0,0,0,0,0,0,0,0
"Samp0012",4,0,0,0,0,0,0,0,0,0
"Samp0013",2,0,0,0,0,0,0,0,0,0
"Samp0014",5,0,0,0,0,0,0,0,0,0
"Samp0015",5,0,0,0,0,0,0,0,0,0
"Samp0016",4,1,0,0,0,0,0,1,0,0
"Samp0017",2,0,0,0,0,0,1,0,0,0
"Samp0018",0,0,0,0,0,0,0,0,0,0
"Samp0019",0,0,0,0,0,0,0,0,0,0
"Samp0020",0,0,0,0,0,0,0,0,0,0
"Samp0021",0,0,0,0,0,0,0,0,0,0
"Samp0022",0,0,0,0,0,0,0,0,0,0
"Samp0023",0,0,0,0,0,0,0,0,0,0
"Samp0024",0,0,0,0,0,0,0,0,0,0
"Samp0025",0,0,0,0,0,0,0,0,0,0
"Samp0026",0,0,0,0,0,0,0,0,0,0
"Samp0027",0,0,0,0,0,0,0,0,0,0
"Samp0028",2,0,0,0,0,0,2,0,0,0
"Samp0029",0,0,0,0,0,0,4,1,0,0
"Samp0030",0,0,0,0,0,0,4,0,0,0
"Samp0031",1,0,0,0,0,0,1,9,0,0
"Samp0032",1,0,0,0,0,0,5,4,0,0
"Samp0033",1,0,0,0,0,0,8,6,0,0
"Samp0034",1,1,0,0,0,0,9,6,0,0
"Samp0035",1,1,0,0,0,0,6,5,0,0
"Samp0036",0,0,0,0,0,0,4,4,0,0
"Samp0037",0,0,0,0,0,0,2,1,0,0
"Samp0038",1,0,0,0,0,0,0,0,0,0
"Samp0039",1,0,0,0,0,0,1,0,0,0
"Samp0040",1,0,0,0,0,0,2,4,0,0
"Samp0041",3,0,0,0,0,0,3,3,0,0
"Samp0042",0,0,0,0,0,0,1,0,0,0
"Samp0043",1,0,0,0,0,0,3,0,0,0
"Samp0044",1,0,0,0,0,0,1,0,0,0
"Samp0045",3,1,0,0,0,0,2,0,0,0
"Samp0046",4,0,0,0,0,0,4,7,0,0
"Samp0047",3,0,0,0,0,0,5,8,0,0
"Samp0048",1,0,0,0,0,0,4,2,0,0
"Samp0049",0,0,0,0,0,0,5,3,0,0
"Samp0050",2,0,0,0,0,0,5,6,0,0
"Samp0051",0,0,0,0,0,0,6,0,0,0
"Samp0052",4,0,0,0,0,0,5,7,0,0
"Samp0053",0,0,0,0,0,0,3,0,0,0
"Samp0054",5,0,0,0,0,0,4,1,0,0
"Samp0055",0,0,0,0,0,0,0,0,0,0
"Samp0056",6,0,0,0,0,0,0,1,0,0
"Samp0057",3,0,0,0,0,0,0,1,0,0
"Samp0058",3,0,0,0,0,0,0,3,0,0
"Samp0059",9,1,0,0,0,0,2,11,0,0
"Samp0060",3,1,0,0,0,0,0,6,0,0
"Samp0061",1,0,0,0,0,0,0,1,0,0
"Samp0062",3,0,0,0,0,0,0,0,0,0
"Samp0063",2,0,0,0,0,0,1,1,0,0
"Samp0064",1,0,0,0,0,0,1,0,0,0
"Samp0065",0,0,0,0,0,0,1,0,0,0
"Samp0066",3,0,0,0,0,0,0,0,0,0
"Samp0067",4,2,0,0,0,0,1,1,0,0
"Samp0068",1,0,0,0,0,0,1,0,0,0
"Samp0069",3,0,0,0,0,0,4,3,0,0
"Samp0070",0,0,0,0,0,0,2,1,0,0
"Samp0071",4,0,0,0,0,0,0,2,0,0
"Samp0072",1,0,0,0,0,0,0,0,0,0
"Samp0073",0,0,0,0,0,0,0,0,0,0
"Samp0074",5,0,0,0,0,0,0,0,0,0
"Samp0075",6,0,0,0,0,0,0,1,0,0
"Samp0076",1,0,0,0,0,0,0,1,0,0
"Samp0077",1,0,0,0,0,0,0,0,0,0
"Samp0078",2,0,0,0,0,0,0,0,0,0
"Samp0079",0,0,0,0,0,0,0,0,0,0
"Samp0080",0,0,0,0,0,0,0,0,0,0
"Samp0081",0,0,0,0,0,0,0,0,0,0
"Samp0082",0,0,0,0,0,0,0,0,0,0
"Samp0083",0,0,0,0,0,0,0,0,0,0
"Samp0084",0,0,0,0,0,0,0,0,0,0
"Samp0085",0,0,0,0,0,0,0,0,0,0
"Samp0086",0,0,0,0,0,0,0,0,0,0
"Samp0087",0,0,0,0,0,0,0,0,0,0
"Samp0088",0,0,0,0,0,0,0,0,0,0
"Samp0089",0,0,0,0,0,0,0,0,0,0
"Samp0090",0,0,0,0,0,0,0,0,0,0
"Samp0091",0,0,0,2,0,0,0,0,0,0
"Samp0092",0,1,0,1,0,0,0,0,0,0
"Samp0093",0,1,1,1,0,0,0,0,0,0
