"sample","dose","cover","nsp"
"Sa.1",0,5,10
"Sa.2",0,5,7
"Sa.3",0,5,9
"Sa.4",0,5,12
"Sa.5",0,10,9
"Sa.6",0,15,9
"Sa.7",0,15,7
"Sa.8",0,15,10
"Sa.9",0,15,8
"Sa.10",0,15,11
"Sa.11",0,15,8
"Sa.12",0,20,9
"Sa.13",0,20,9
"Sa.14",0,20,13
"Sa.15",0,20,6
"Sa.16",0,20,5
"Sa.17",0,20,9
"Sa.18",0,15,6
"Sa.19",0,30,11
"Sa.20",1,60,8
"Sa.21",1,80,4
"Sa.22",1,80,5
"Sa.23",1,30,7
"Sa.24",1,50,6
"Sa.25",1,50,8
"Sa.26",1,30,11
"Sa.27",1,90,5
"Sa.28",1,70,2
"Sa.29",1,80,4
"Sa.30",1,70,6
"Sa.31",1,70,5
"Sa.32",1,45,6
"Sa.33",1,90,5
"Sa.34",1,100,5
"Sa.35",1,60,9
"Sa.36",1,55,4
"Sa.37",1,60,5
"Sa.38",1,70,5
"Sa.39",1,90,4
"Sa.40",1,90,3
"Sa.41",1,90,3
"Sa.42",1,70,5
"Sa.43",1,70,5
"Sa.44",1,40,4
"Sa.45",1,50,3
"Sa.46",1,50,10
"Sa.47",1,50,7
"Sa.48",1,50,7
"Sa.49",1,50,7
"Sa.50",1,50,7
"Sa.51",1,80,4
"Sa.52",1,80,5
"Sa.53",1,60,6
"Sa.54",1,70,6
"Sa.55",1,60,4
"Sa.56",1,50,5
"Sa.57",1,40,5
"Sa.58",1,35,4
"Sa.59",1,35,5
"Sa.60",1,40,6
"Sa.61",1,30,7
"Sa.62",1,30,7
"Sa.63",1,30,6
"Sa.64",1,30,8
"Sa.65",1,30,6
"Sa.66",1,50,6
"Sa.67",1,50,7
"Sa.68",1,20,6
"Sa.69",1,40,3
"Sa.70",1,60,5
"Sa.71",1,50,7
"Sa.72",1,55,6
"Sa.73",1,60,6
"Sa.74",1,75,4
"Sa.75",1,50,4
"Sa.76",1,75,4
"Sa.77",2,70,3
"Sa.78",2,75,6
"Sa.79",2,80,10
"Sa.80",2,90,2
"Sa.81",2,95,2
"Sa.82",2,90,3
"Sa.83",2,100,4
"Sa.84",2,95,2
"Sa.85",2,90,2
"Sa.86",2,90,2
"Sa.87",2,90,5
"Sa.88",2,90,4
"Sa.89",2,90,3
"Sa.90",2,70,7
"Sa.91",2,80,5
"Sa.92",2,80,4
"Sa.93",2,60,8
"Sa.94",2,40,7
"Sa.95",2,70,3
"Sa.96",2,50,6
"Sa.97",2,50,10
"Sa.98",2,45,5
"Sa.99",2,50,5
"Sa.100",2,50,7
"Sa.101",2,50,8
"Sa.102",2,80,6
"Sa.103",2,60,7
"Sa.104",2,40,6
"Sa.105",2,100,5
"Sa.106",2,100,2
"Sa.107",2,80,6
"Sa.108",2,80,4
"Sa.109",2,100,2
"Sa.110",2,100,6
"Sa.111",2,70,8
"Sa.112",2,70,4
"Sa.113",2,90,3
"Sa.114",2,90,4
"Sa.115",2,90,3
"Sa.116",2,90,8
"Sa.117",2,100,2
"Sa.118",2,100,1
"Sa.119",2,100,1
"Sa.120",2,100,2
"Sa.121",2,100,1
"Sa.122",2,100,1
