,"Watershed","Stream","Reach","Run","Stream Nested","Reach Nested","Run Nested"
,"WS","ST","RE","RU","ST_nst","RE_nst","RU_nst"
"Samp0001","Bay","Bay_1","Bay_1R1","Bay_1R1r1","St_1","Re_1","Ru_1"
"Samp0002","Bay","Bay_1","Bay_1R1","Bay_1R1r1","St_1","Re_1","Ru_1"
"Samp0003","Bay","Bay_1","Bay_1R1","Bay_1R1r1","St_1","Re_1","Ru_1"
"Samp0004","Bay","Bay_1","Bay_1R1","Bay_1R1r2","St_1","Re_1","Ru_2"
"Samp0005","Bay","Bay_1","Bay_1R1","Bay_1R1r2","St_1","Re_1","Ru_2"
"Samp0006","Bay","Bay_1","Bay_1R1","Bay_1R1r2","St_1","Re_1","Ru_2"
"Samp0007","Bay","Bay_1","Bay_1R1","Bay_1R1r3","St_1","Re_1","Ru_3"
"Samp0008","Bay","Bay_1","Bay_1R1","Bay_1R1r3","St_1","Re_1","Ru_3"
"Samp0009","Bay","Bay_1","Bay_1R1","Bay_1R1r3","St_1","Re_1","Ru_3"
"Samp0010","Bay","Bay_1","Bay_1R2","Bay_1R2r1","St_1","Re_2","Ru_1"
"Samp0011","Bay","Bay_1","Bay_1R2","Bay_1R2r1","St_1","Re_2","Ru_1"
"Samp0012","Bay","Bay_1","Bay_1R2","Bay_1R2r1","St_1","Re_2","Ru_1"
"Samp0013","Bay","Bay_1","Bay_1R2","Bay_1R2r2","St_1","Re_2","Ru_2"
"Samp0014","Bay","Bay_1","Bay_1R2","Bay_1R2r2","St_1","Re_2","Ru_2"
"Samp0015","Bay","Bay_1","Bay_1R2","Bay_1R2r2","St_1","Re_2","Ru_2"
"Samp0016","Bay","Bay_1","Bay_1R2","Bay_1R2r3","St_1","Re_2","Ru_3"
"Samp0017","Bay","Bay_1","Bay_1R2","Bay_1R2r3","St_1","Re_2","Ru_3"
"Samp0018","Bay","Bay_1","Bay_1R2","Bay_1R2r3","St_1","Re_2","Ru_3"
"Samp0019","Bay","Bay_1","Bay_1R3","Bay_1R3r1","St_1","Re_3","Ru_1"
"Samp0020","Bay","Bay_1","Bay_1R3","Bay_1R3r1","St_1","Re_3","Ru_1"
"Samp0021","Bay","Bay_1","Bay_1R3","Bay_1R3r1","St_1","Re_3","Ru_1"
