,"molicaer","nardstri","festrubr","brizmed","anthodor","siegdecu","holclana","agrospp.","festprat","cynocris","descespi","poaprate","festovin","avenpube","carepani","carepale","carepuli","careumbr","carestel","carelepo","carepilu","carenigr","careflav","carehirt","carehart","luzumult","junceffu","scirsylv","lathprat","lychflos","cirspalu","selicarv","ranunemo","ranuauri","poteerec","lysivulg","achiptar","angesilv","senerivu","mentarve","myospalu","centjace","rumeacet","scorhumi","prunvulg","vicicrac","sangoffi","ajugrept","galibore","galiulig","galipalu","ranuacer","valedioi","saliauri","equiarve","equipalu","planlanc","leonhisp","taraoffi","pedisilv","pimpmajo","verocham","verooffi","alchvulg","stelgram","betooffi","hierumbe","epilpalu","epilcili","trifdubi","succprat","ceravulg","cardprat","serrtinc","pinusylv","dactmaja","querrobu","ranuflam","pseupuru","aulapalu","brachyte","climdend","rhitsqua","hylosple","sphagnum","pleuschr"
"r94p1",30,25,10,5,2,1,5,0,0,0,0,0,0,0,10,7,3,0,0,0,0,0,0,0,0,7,5,0,10,2,0,0,0,0,10,7,10,6,2,0.5,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,0,0,0,0,0
"r94p2",30,25,5,3,3,1,2,1,0,0,0,0,0,0,7,10,2,2,1,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0,10,4,3,2,0,1,1,0,0,0,2,0,0,0,0,15,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,1,1,0,0,0,0
"r94p3",20,1,10,5,3,5,6,3,0,0,7,0,0,0,15,10,5,0,0,0,0,0,0,0,0,5,10,0,1,0,10,1,1,0,7,4,8,0,0,0.01,2,0,0,0,0,0,0,1,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,0,0,0
"r94p4",20,15,12,3,5,4,5,2,0,0,0,0,0,0,10,0,3,0,5,0,0,0,0,0,0,2,2,0,2,0,7,0,0,0,10,0,10,0,0,2,2,0,0,0,3,0.5,0,2,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,1,2,1,0,0
"r94p5",40,10,10,5,3,3,3,0,0,0,0,0,0,0,5,5,0.5,0,3,3,0,0,0,0,0,2,3,2,2,2,5,0,0.5,0,2,3,7,2,0,0,0,3,2,0,3,0,5,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,3,1,0,0
"r94p6",40,20,4,3,2,3,4,0,0,0,0,0,0,0,4,4,3,0,0,0,3,0,0,0,0,2,3,2,3,0,0,4,1,1,4,3,2,0,0,1,0,0,0,0,0,0,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,3,1,0,0
"r94p7",25,17,3,5,7,4,4,0,2,0.5,0,0,0,0,6,4,1,0,0,0,2,0,0,0,0,2,2,2,0,2,2,0,1,0,7,3,2,2,0,2,2,0,0,0,1,1,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,1,3,0,0
"r94p8",20,15,7,2,2,2,2,1,2,0,0,0,0,0,8,8,0.5,0,0,4,0,2,0,0,0,2,4,0,0,1,3,0,1,0,3,4,1,0,0,2,2,0,0,0,2,0,0,2,0,10,0,0,0,0,0,0,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,1,0,2,1,0
"r94p9",35,10,2,4,3,3,5,5,0,0,2,0,0,0,6,2,2,0,0,0,0,0,2,0,0,2,3,3,0,0,2,0,1,0,3,5,2,2,3,0,1,0,0,0,1,1,0,3,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,2,1,1,0,0
"r94p10",35,10,5,6,3,1,3,4,0,1,2,0,0,0,1,4,0.2,0,0,2,1,0,0,0,0,2,2,0,0.5,0,1,3,0.5,0,4,3,1,0,1,0,1,0,2,0.5,1,0,12,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,1,2,0,0
